node_id	reason	capacity	area_3857
10108019047	capacity_suspiciously_high	5	0
10108019048	capacity_suspiciously_high	5	0
10108019050	capacity_suspiciously_high	5	0
10108030854	capacity_suspiciously_high	5	0
10108030855	capacity_suspiciously_high	5	0
10108030863	capacity_suspiciously_high	5	0
10108030856	capacity_suspiciously_high	5	0
10108030857	capacity_suspiciously_high	5	0
10108030861	capacity_suspiciously_high	5	0
10108030860	capacity_suspiciously_high	5	0
10108030862	capacity_suspiciously_high	5	0
4361828330	capacity_suspiciously_high	5	0
9045648120	capacity_suspiciously_high	15	0
10108030859	capacity_suspiciously_high	5	0
10108030858	capacity_suspiciously_high	5	0
10108019046	capacity_suspiciously_high	5	0
5499282966	capacity_suspiciously_high	6	0
8669530663	capacity_suspiciously_high	5	0
10207506593	capacity_suspiciously_high	6	0
10207506594	capacity_suspiciously_high	6	0
10207506592	capacity_suspiciously_high	6	0
10207506590	capacity_suspiciously_high	6	0
10207506591	capacity_suspiciously_high	6	0
9107679320	capacity_suspiciously_high	6	0
7885028785	capacity_suspiciously_high	5	0
7744547790	capacity_suspiciously_high	6	0
7885028685	capacity_suspiciously_high	5	0
9045737421	capacity_suspiciously_high	5	0
9082391581	capacity_suspiciously_high	5	0
9164436547	capacity_suspiciously_high	5	0
4319291109	capacity_suspiciously_high	6	0
9026044247	capacity_suspiciously_high	10	0
9124450099	capacity_suspiciously_high	5	0
10041346606	capacity_suspiciously_high	11	0
10617863774	capacity_suspiciously_high	10	0
3347836890	capacity_suspiciously_high	6	0
9043556357	capacity_suspiciously_high	6	0
9043556358	capacity_suspiciously_high	6	0
9043556359	capacity_suspiciously_high	6	0
9043556360	capacity_suspiciously_high	6	0
10284248221	capacity_suspiciously_high	6	0
10284248220	capacity_suspiciously_high	6	0
9043424785	capacity_suspiciously_high	6	0
10284244522	capacity_suspiciously_high	6	0
10284244521	capacity_suspiciously_high	6	0
9043424788	capacity_suspiciously_high	6	0
9043424787	capacity_suspiciously_high	6	0
9043424786	capacity_suspiciously_high	6	0
